class,mutationScore
cc.mallet.classify.MaxEnt,58.27338
cc.mallet.classify.MaxEntOptimizableByLabelDistribution,93.15069
cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,96.57534
cc.mallet.classify.NaiveBayesTrainer,100.0
cc.mallet.cluster.KMeans,68.13187
cc.mallet.fst.HMM,90.39548
cc.mallet.fst.SumLatticeBeam,45.454548
cc.mallet.topics.LDAHyper,89.252335
cc.mallet.topics.ParallelTopicModel,36.713287
cc.mallet.topics.TopicalNGrams,16.923077
cc.mallet.types.AugmentableFeatureVector,98.0
cc.mallet.types.SparseVector,98.591545
edu.stanford.nlp.coref.data.Mention,32.86119
edu.stanford.nlp.dcoref.Mention,39.228296
edu.stanford.nlp.ie.NERFeatureFactory,41.221375
edu.stanford.nlp.ling.CoreLabel,100.0
edu.stanford.nlp.parser.lexparser.LexicalizedParser,53.3088235
edu.stanford.nlp.pipeline.ArabicSegmenterAnnotator,11.428572
edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,3.2786884
edu.stanford.nlp.pipeline.CoreDocument,60.869564
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,46.218487
edu.stanford.nlp.pipeline.KBPAnnotator,1.183432
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,100.0
edu.stanford.nlp.pipeline.MorphaAnnotator,100.0
edu.stanford.nlp.pipeline.NERCombinerAnnotator,67.14285
edu.stanford.nlp.pipeline.POSTaggerAnnotator,42.307693
edu.stanford.nlp.pipeline.ParserAnnotator,6.9767447
edu.stanford.nlp.pipeline.QuoteAnnotator,32.63889
edu.stanford.nlp.pipeline.TokenizerAnnotator,90.16393
edu.stanford.nlp.pipeline.TokensRegexNERAnnotator,55.405407
edu.stanford.nlp.pipeline.WikidictAnnotator,5.7971015
edu.stanford.nlp.process.Morphology,20.0
edu.stanford.nlp.process.PTBTokenizer,43.859648
edu.stanford.nlp.process.WordToSentenceProcessor,91.47287
opennlp.tools.parser.Parse,97
opennlp.tools.ml.maxent.GISTrainer,14
opennlp.tools.ngram.NGramModel,81
opennlp.tools.chunker.ChunkerME,67
opennlp.tools.formats.Conll03NameSampleStream,85
opennlp.tools.langdetect.LanguageDetectorME,65
opennlp.tools.postag.POSTaggerFactory,69
opennlp.tools.postag.POSTaggerME,71
gate.corpora.SerialCorpusImpl,83
gate.corpora.CorpusImpl,44
gate.corpora.DocumentImpl,61
gate.corpora.DocumentStaxUtils,63
gate.annotation.AnnotationSetImpl,95
gate.annotation.AnnotationImpl,100
edu.illinois.cs.cogcomp.comma.datastructures.Comma,59
edu.illinois.cs.cogcomp.ner.ClassifiersAndUtils.MemoryEfficientNB,100
edu.illinois.cs.cogcomp.ner.NERAnnotator,31